RegionName,StateName,HousingPrice,RentPrice,RentToPriceRatio
"Columbia, SC",SC,251592.5394823848,1715.0507155300602,0.006816778903931446
"North Port, FL",FL,458529.4729583247,2691.827583979328,0.0058705661091146165
"Charleston, SC",SC,437141.05189623154,2473.013292648709,0.005657243312933585
"Greensboro, NC",NC,258693.8133823788,1811.3114568713884,0.007001757920642905
"Stockton, CA",CA,542980.9981591079,2758.461062932145,0.0050802165679540824
"Cape Coral, FL",FL,396896.6643278317,2350.748213439003,0.005922821793980395
"Boise City, ID",ID,472194.74876286526,2133.9034733893554,0.004519117332372104
"Colorado Springs, CO",CO,459602.2636815244,2257.572690108684,0.004912013861779064
"Little Rock, AR",AR,220714.5161206678,1358.523825208608,0.006155117701754984
"Lakeland, FL",FL,314825.8856190741,2049.0057079530984,0.00650837749228889
"Akron, OH",OH,219941.96973804967,1306.3421009098429,0.005939485321813263
"Des Moines, IA",IA,288640.678207909,1661.7714285714285,0.005757232275398301
"Springfield, MA",MA,356874.7766287418,2884.6990740740744,0.00808322488163695
"Ogden, UT",UT,499155.18619298097,2214.101797427378,0.0044356982731446025
"Madison, WI",WI,430169.7250102626,2975.5313208616776,0.0069171100332332544
"Winston, NC",NC,268474.1618610942,1791.2974389997985,0.006672140911372312
"Deltona, FL",FL,339891.74296952965,2143.104930492545,0.006305257408635162
"Syracuse, NY",NY,236688.74894447144,2033.4714795008915,0.0085913313943704
"Provo, UT",UT,543432.1767301158,2278.255050081137,0.004192344781256088
"Toledo, OH",OH,188395.69207881027,1246.3040908040907,0.006615353445994576
"Wichita, KS",KS,213130.19985629155,1218.125,0.005715403076717198
"Durham, NC",NC,411518.2757957718,2073.615455050615,0.005038938917210346
"Augusta, GA",GA,230451.0267455579,1539.5855572998432,0.006680749394098847
"Palm Bay, FL",FL,359488.1402970808,2212.932709639097,0.0061557878037654615
"Jackson, MS",MS,195680.9789576736,1529.0091635862657,0.007813785334327233
"Harrisburg, PA",PA,285314.28662341775,1757.914497264667,0.00616132657803047
"Spokane, WA",WA,408861.2833927117,2094.076210826211,0.005121727822819674
"Scranton, PA",PA,214126.39616480796,1577.739898989899,0.00736826438612244
"Chattanooga, TN",TN,305501.01460571773,1873.9894416099776,0.0061341512859738444
"Modesto, CA",CA,466318.6294886058,2349.624761904762,0.005038668012216256
"Lancaster, PA",PA,354929.23442125553,1696.6666666666667,0.0047802956255019015
"Portland, ME",ME,521022.7602927345,2730.959833413144,0.005241536534562839
"Youngstown, OH",OH,158868.70498584464,1193.9102564102566,0.007515075146591238
"Lansing, MI",MI,229414.30990045224,1618.734619883041,0.007055944420317305
"Fayetteville, AR",AR,342523.4097353443,1759.5729565565434,0.005137088171334342
"Fayetteville, NC",NC,241840.7085313408,1616.0610590824738,0.006682336769919958
"Lexington, KY",KY,297267.73071341176,1763.421766470312,0.005932099532762208
"Pensacola, FL",FL,296866.2933599337,1871.0103174603173,0.006302535381448046
"Santa Rosa, CA",CA,817983.2761700038,3276.622369878184,0.004005732715245873
"Reno, NV",NV,554432.0484100989,2478.184341907758,0.004469771091000696
"Huntsville, AL",AL,304987.19676135434,1719.2088906817264,0.0056369870897464884
"Port St. Lucie, FL",FL,409804.12079548463,2615.392657342657,0.006382055534887814
"Lafayette, LA",LA,189639.31954752243,1487.7854406130266,0.007845342643935172
"Myrtle Beach, SC",SC,364339.4803383846,2111.226728110599,0.005794669098582928
"Springfield, MO",MO,254982.8811892046,1354.9481999482,0.005313879087211308
